Station;Type;dd/mm/yyyy;hh:mm;Latitude;Longitude;Depth (m);NO3NO2 (�M);NO2 (�M);PO4 (�M);SiOH4 (�M);NH4 (�M);Temperature (�C);dO2 %;pH;PAR;pot Temp;Density;Salinity (PSU);Chla (RFU);N2O (nM);CH4 (nM);CH4 saturation;N2O saturation
2;B;24/08/2023;10:54:00;61,09355;-45,80858333;1,93;0;0;0;3,161;0,085;2,2101;;8,561;334,09006;;;20,6037;2,19;;;;
2;B;24/08/2023;10:54:00;61,09355;-45,80858333;300,38;13,378;0,026;0,905;9,587;0,054;3,9741;97,6;8,238;0,034047;3,9527;1028,8608;34,5762;1,76;14,92;5,55;158;109
2;B;24/08/2023;10:54:00;61,09355;-45,80858333;39,92;7,176;0,091;0,475;6,86;1,092;1,3149;;8,309;0,148031;;;31,7768;2,87;;;;
2;B;24/08/2023;10:54:00;61,09355;-45,80858333;5,92;0;0;0;2,367;0,106;0,5908;101,4;8,632;146,08423;0,5906;1021,8076;27,1761;2,31;16,39;7,41;181;100
2;B;24/08/2023;10:54:00;61,09355;-45,80858333;90,07;3,359;0,156;0,436;3,446;4,052;0,0034;;8,355;0,042189;;;32,5199;2,36;;;;
3;B;25/08/2023;07:20:00;61,03418333;-45,95351667;9,89;5,163;0,089;0,302;5,333;0,826;0,2225;92,55;8,441;8,648702;0,2222;1023,4635;29,1919;3,86;16,11;7,80;192;98
3;B;25/08/2023;07:20:00;61,03418333;-45,95351667;175,03;11,088;0,073;0,857;7,454;0,088;1,3925;;8,229;0,067354;;;33,5947;2,43;;;;
3;B;25/08/2023;07:20:00;61,03418333;-45,95351667;249,97;12,949;0,039;0,921;8,934;0,064;3,5333;;8,227;0,068834;;;34,3615;2,08;;;;
3;B;25/08/2023;07:20:00;61,03418333;-45,95351667;3,08;0;0;0;3,119;0,089;1,2716;89,65;8,448;51,1898;1,2715;1018,575;23,1983;3,86;16,00;9,30;226;98
3;B;25/08/2023;07:20:00;61,03418333;-45,95351667;34,63;10,303;0,069;0,747;7,162;0,555;1,3549;98,85;8,247;0,116204;1,3535;1025,3705;31,4891;4,45;15,51;5,24;135;100
3;B;25/08/2023;07:20:00;61,03418333;-45,95351667;550,16;13,815;0,028;0,935;9,26;0,121;4,3803;;8,223;0,034047;;;34,7229;2,14;;;;
3;B;25/08/2023;07:20:00;61,03418333;-45,95351667;85,38;3,555;0,165;0,587;2,947;3,091;0,1583;101,05;8,306;0,043669;0,1555;1026,4635;32,4608;2,35;16,90;6,69;168;105
4;B;25/08/2023;16:17:00;60,95368333;-46,23533333;2,05;0;0;0;3,151;0,165;4,1076;99,9;8,464;191,05894;4,1075;1014,6098;18,4008;2,74;15,00;6,33;161;100
4;B;25/08/2023;16:17:00;60,95368333;-46,23533333;20,09;7,666;0,112;0,521;4,422;0,56;0,4808;;8,392;6,81682;;;30,3837;2,47;;;;
4;B;25/08/2023;16:17:00;60,95368333;-46,23533333;249,58;13,669;0;0,917;9,058;0,105;3,5783;96,9;8,224;0,037008;3,5615;1028,508;34,3781;2,24;15,67;5,09;143;112
4;B;25/08/2023;16:17:00;60,95368333;-46,23533333;34,38;4,491;0,174;0,236;6,262;0,767;1,1226;107,2;8,254;0,855618;1,1213;1025,3284;31,4207;2,47;15,76;6,02;154;101
4;B;25/08/2023;16:17:00;60,95368333;-46,23533333;546,44;13,209;0;0,917;9,245;0,116;4,4084;98,4;8,222;0,023685;4,3664;1030,0768;34,728;2,05;14,57;4,74;136;108
4;B;25/08/2023;16:17:00;60,95368333;-46,23533333;5,93;0;0;0;1,721;0,132;0,8806;96,9;8,51;91,700661;0,8804;1022,0404;27,4808;2,96;15,31;8,33;206;95
4;B;25/08/2023;16:17:00;60,95368333;-46,23533333;70,33;2,803;0,113;0,505;2,537;2,64;0,3222;104,2;8,324;0,043669;0,3198;1026,2707;32,3222;3,77;16,50;5,85;148;103
6;B;26/08/2023;08:40:00;61,01346667;-46,6366;99,83;3,744;0,101;0,393;2,791;1,798;0,6848;;8,346;0,056992;;;31,5599;2,01;;;;
6;B;26/08/2023;08:40:00;61,01346667;-46,6366;169,72;10,811;0,111;0,718;5,766;1,094;-0,0392;97,4;8,208;0,041449;-0,0447;1027,1678;32,8199;2,13;18,29;6,87;172;113
6;B;26/08/2023;08:40:00;61,01346667;-46,6366;19,54;4,161;0,096;0,42;3,14;1,736;0,7188;102;8,349;0,04885;0,7182;1023,6561;29,4013;2,66;16,30;7,41;185;101
6;B;26/08/2023;08:40:00;61,01346667;-46,6366;3,16;4,014;0,09;0,44;3,291;1,91;0,8547;97,7;8,34;1,527678;0,8546;1023,0744;28,784;2,7;16,58;7,23;180;103
6;B;26/08/2023;08:40:00;61,01346667;-46,6366;40,15;5,164;0,108;0,428;3,358;1,373;0,7897;;8,333;0,040708;;;30,7247;2,66;;;;
6;B;26/08/2023;08:40:00;61,01346667;-46,6366;5,81;4,057;0,091;0,416;3,261;1,737;0,8324;98,8;8,345;0,105842;0,8322;1023,1427;28,8517;2,67;16,41;7,40;185;102
7;B;26/08/2023;16:02:00;61,0025;-46,64955;99,99;7,851;0;0,625;7,227;0,076;0,6658;;8,338;0,09548;;;31,5699;2,21;;;;
7;B;26/08/2023;16:02:00;61,0025;-46,64955;2,99;2,635;0,056;0,264;3,64;1,053;0,859;;8,324;41,826851;;;28,5829;2,96;;;;
7;B;26/08/2023;16:02:00;61,0025;-46,64955;30,07;7,04;0,14;0,526;4,249;0,88;0,7211;;8,338;0,073275;;;29,6258;1,84;;;;
7;B;26/08/2023;16:02:00;61,0025;-46,64955;6,07;0;0;0,038;3,441;1,672;0,8209;;8,331;4,241824;;;28,6599;2,73;;;;
7;B;26/08/2023;16:02:00;61,0025;-46,64955;74,95;0;0;0,143;2,752;2,376;0,7898;;8,335;0,075496;;;31,3368;2,27;;;;
10;B;27/08/2023;07:00:00;60,91306667;-46,53136667;150,05;;;;;;1,0613;;8,263;0,091779;;;33,4871;1,9;;;;
10;B;27/08/2023;07:00:00;60,91306667;-46,53136667;249,94;;;;;;3,7065;;8,253;0,068834;;;34,4495;1,68;;;;
10;B;27/08/2023;07:00:00;60,91306667;-46,53136667;2,96;;;;;;1,3993;90,6;8,293;23,649406;1,3992;1020,338;25,4056;2,34;14,30;7,80;193;89
10;B;27/08/2023;07:00:00;60,91306667;-46,53136667;29,97;;;;;;0,8377;93,9;8,298;0,087338;0,8366;1025,2463;31,3248;2,39;14,09;6,08;155;89
10;B;27/08/2023;07:00:00;60,91306667;-46,53136667;399,91;;;;;;4,3203;89;8,257;0,04959;4,2904;1029,375;34,6895;1,99;13,19;5,31;153;98
10;B;27/08/2023;07:00:00;60,91306667;-46,53136667;5,95;;;;;;0,7451;90,1;8,312;1,673489;0,7449;1022,717;28,3158;2,44;15,86;7,18;178;98
12;B;27/08/2023;17:05:00;60,784;-46,81358333;19,94;0;0;0;2,222;1,081;0,7939;103,3;8,362;1,159081;0,7932;1024,3415;30,2563;2,89;15,31;7,25;183;96
12;B;27/08/2023;17:05:00;60,784;-46,81358333;250,01;12,694;0;0,859;8,469;0,08;3,4793;93,5;8,265;0,033307;3,4627;1028,5294;34,3901;1,72;14,23;4,43;124;102
12;B;27/08/2023;17:05:00;60,784;-46,81358333;2,92;0;0;0;2,94;0,727;4,3794;107,6;8,416;216,63498;4,3792;1020,2305;25,5113;4,74;15,59;7,15;193;110
12;B;27/08/2023;17:05:00;60,784;-46,81358333;399,94;7,232;0,035;0,311;8,598;0,064;4,4654;95,2;8,256;0,027386;4,435;1029,3745;34,7106;1,98;13,45;4,61;133;100
12;B;27/08/2023;17:05:00;60,784;-46,81358333;49,99;0;0;0,14;1,908;1,594;0,422;102,8;8,37;0,024425;0,4203;1025,9483;32,0504;2,18;15,30;6,03;152;96
12;B;27/08/2023;17:05:00;60,784;-46,81358333;6,91;0;0;0,032;2,998;1,339;2,0727;108,7;8,447;66,211227;2,0724;1021,9284;27,4124;18;15,56;7,25;186;101
12;B;27/08/2023;17:05:00;60,784;-46,81358333;80,06;0;0;0,129;2,974;2,02;-0,0273;101,4;8,354;0,008142;-0,0298;1026,466;32,4851;1,91;16,06;5,80;145;99
14;B;28/08/2023;08:17:00;60,6902;-47,15931667;99,98;;;;;;0,313;;8,329;0,004441;;;32,951;1,94;;;;
14;B;28/08/2023;08:17:00;60,6902;-47,15931667;11,9;0;0;0;2,307;1,057;0,8044;96,6;8,387;14,131023;0,804;1024,1419;30,057;2,78;16,11;6,87;173;101
14;B;28/08/2023;08:17:00;60,6902;-47,15931667;19,91;0,772;0;0;1,824;1,189;1,3661;97,6;8,387;2,676398;1,3653;1025,008;31,1271;2,96;15,63;6,04;156;101
14;B;28/08/2023;08:17:00;60,6902;-47,15931667;80,11;0,578;0,162;0;7,79;1,011;0,0529;95,6;8,347;0,029606;0,0503;1026,562;32,6092;1,9;14,11;4,89;122;87
14;B;28/08/2023;08:17:00;60,6902;-47,15931667;2,93;0;0;0,03;2,429;0,643;2,9023;97,7;8,42;156,94525;2,9022;1021,9922;27,5841;2,77;15,32;7,27;191;103
14;B;28/08/2023;08:17:00;60,6902;-47,15931667;399,93;0,024;0;0;8,381;0,125;4,7112;89,3;8,248;0,030346;4,68;1029,3677;34,7399;2,06;14,96;4,95;144;112
14;B;28/08/2023;08:17:00;60,6902;-47,15931667;5,94;0;0;0,034;2,664;1,279;2,3675;98;8,405;68,168938;2,3672;1022,5713;28,246;3,6;16,26;7,17;186;107
14;B;28/08/2023;08:17:00;60,6902;-47,15931667;6,06;0;0;0;4,762;1,399;2,3947;97,9;8,405;67,877319;2,3944;1022,5506;28,2216;3,54;16,84;5,72;;
19;B;30/08/2023;12:45:00;60,60541667;-46,29395;100,01;0;0;0;4,193;1,548;0,3806;117,9;8,119;0,179857;0,377;1026,8994;32,9307;2,27;16,19;5,93;150;101
19;B;30/08/2023;12:45:00;60,60541667;-46,29395;19,95;0;0;0,176;1,021;0,686;2,6818;131,9;8,22;45,617924;2,6808;1025,1505;31,4204;4,86;15,65;6,22;167;107
19;B;30/08/2023;12:45:00;60,60541667;-46,29395;199,88;0;0,027;0,035;7,256;0,301;3,4061;108,4;8,12;0,105842;3,3931;1028,1601;34,2122;2,03;14,81;4,92;138;106
19;B;30/08/2023;12:45:00;60,60541667;-46,29395;2,95;0;0;0,069;2,04;0,179;3,6793;115,9;8,223;542,90234;3,6791;1023,0345;28,9686;2,16;15,52;6,78;184;108
19;B;30/08/2023;12:45:00;60,60541667;-46,29395;3,05;0;0,035;0;8,98;0,089;3,5429;116;8,223;654,05133;3,5427;1023,0047;28,9161;2,72;15,05;5,52;149;104
19;B;30/08/2023;12:45:00;60,60541667;-46,29395;400,04;0;0;0,139;0,378;0,119;3,8092;104,1;8,094;0,091779;3,781;1029,2798;34,4947;2,02;14,87;5,96;169;108
22;B;31/08/2023;06:46:00;60,68713333;-46,14623333;99,92;0;0;0,299;4,355;1,484;0,4309;104;8,125;0,108803;0,4273;1026,6857;32,6691;2,08;16,38;5,64;143;103
22;B;31/08/2023;06:46:00;60,68713333;-46,14623333;149,97;0,514;0;0,116;7,336;0,418;1,6833;94;8,096;0,09696;1,6759;1027,6323;33,6546;2,2;14,99;5,18;137;99
22;B;31/08/2023;06:46:00;60,68713333;-46,14623333;219,95;8,091;0,026;0,511;8,008;0,12;2,9493;90,4;8,093;0,103622;2,9358;1028,2698;34,175;1,88;14,59;4,98;137;102
22;B;31/08/2023;06:46:00;60,68713333;-46,14623333;220,05;0,501;0;0,105;0,857;0,125;2,9508;90,4;8,093;0,085118;2,9373;1028,2697;34,1745;2,12;13,47;6,33;175;94
22;B;31/08/2023;06:46:00;60,68713333;-46,14623333;3;0,521;0;0,218;1,397;0,905;6,9789;88,9;8,176;20,688049;6,9786;1022,4433;28,6554;3,23;16,03;7,42;219;127
22;B;31/08/2023;06:46:00;60,68713333;-46,14623333;29,94;0,537;0;0,154;0,458;0,174;2,307;111,5;8,208;1,600953;2,3055;1025,1748;31,3552;3,5;14,23;5,87;156;95
23;B;31/08/2023;17:17:00;60,75476667;-45,67821667;150,03;3,943;0,096;0,405;6,729;0,086;0,065;;8,004;0,100661;;;33,0555;2,31;;;;
23;B;31/08/2023;17:17:00;60,75476667;-45,67821667;249,97;6,509;0,039;0,558;8,915;0,337;0,1057;95,4;7,99;0,086598;0,0969;1027,8215;33,1624;1,83;16,77;4,83;122;104
23;B;31/08/2023;17:17:00;60,75476667;-45,67821667;2,99;0,616;0;0,064;2,91;0,092;9,0695;100,2;8,124;28,870453;9,0692;1018,0674;23,4126;3,52;12,54;5,50;166;104
23;B;31/08/2023;17:17:00;60,75476667;-45,67821667;349,98;5,636;0;0,477;10,755;0,1;0,1305;92,3;7,98;0,041449;0,1177;1028,3158;33,183;2;16,35;5,94;150;102
23;B;31/08/2023;17:17:00;60,75476667;-45,67821667;39,99;0,517;0;0,177;0,66;0,135;1,7413;127,6;8,187;0,696485;1,7395;1025,8652;32,1067;3,17;15,60;5,98;157;103
23;B;31/08/2023;17:17:00;60,75476667;-45,67821667;6,06;0,539;0;0,111;0,616;0,128;6,1154;102,5;8,136;14,347888;6,1149;1023,2396;29,5168;3,68;14,32;6,67;194;110
23;B;31/08/2023;17:17:00;60,75476667;-45,67821667;80,02;0,524;0;0,181;1,807;1,291;0,7807;115,2;8,107;0,116204;0,7776;1026,5531;32,6477;2,6;16,17;5,73;147;103
26;B;01/09/2023;09:31:00;60,905;-45,41035;0,98;0,558;0;0,033;4,865;0,143;8,5424;93,7;8,148;47,604496;8,5423;1012,7582;16,535;3,55;13,27;5,92;168;104
26;B;01/09/2023;09:31:00;60,905;-45,41035;9,94;0,535;0;0,094;0,297;0,146;4,8295;107,4;8,189;0,532171;4,8288;1024,1357;30,4463;3,19;16,15;6,48;183;119
26;B;01/09/2023;09:31:00;60,905;-45,41035;100,03;0,525;0;0,189;1,757;2,263;0,3786;104,6;8,045;-0,019244;0,375;1026,8042;32,8082;1,85;16,80;5,10;129;105
26;B;01/09/2023;09:31:00;60,905;-45,41035;20,05;0,495;0;0,124;0;0,184;3,2539;115,8;8,189;0,086598;3,2527;1025,1641;31,4926;4,27;16,19;6,80;186;113
26;B;01/09/2023;09:31:00;60,905;-45,41035;219,96;4,289;0,036;0,398;8,851;0,09;0,0917;92,9;7,989;-0,006661;0,084;1027,6567;33,132;2,04;16,83;5,19;131;104
26;B;01/09/2023;09:31:00;60,905;-45,41035;40,07;0,527;0;0,109;0,215;0,969;1,9076;121,7;8,198;-0,010362;1,9057;1025,906;32,1685;2,26;15,86;6,49;171;105
26;B;01/09/2023;09:31:00;60,905;-45,41035;5,95;0,498;0;0,08;0,7;0,299;5,1922;99,1;8,168;1,996936;5,1917;1023,4142;29,6063;3,61;15,30;6,88;195;114
29;B;01/09/2023;15:23:00;60,9016;-45,33896667;0,95;0,516;0;0,052;5,895;0,241;5,4132;97,5;8,229;108,59689;5,4131;1015,7123;19,9164;2,43;15,30;5,85;156;108
29;B;01/09/2023;15:23:00;60,9016;-45,33896667;100,04;0,494;0;0,08;3,364;2,131;0,315;102,8;8,039;0,021464;0,3115;1026,8614;32,8767;2,01;16,67;5,67;143;104
29;B;01/09/2023;15:23:00;60,9016;-45,33896667;19,97;0,531;0;0,117;0,247;0,335;3,258;;8,217;0,035527;;;31,3923;3,08;;;;
29;B;01/09/2023;15:23:00;60,9016;-45,33896667;3,01;0,547;0;0,087;1,802;0,36;5,359;99,4;8,162;9,126842;5,3588;1021,8048;27,6122;3,37;15,10;6,19;174;112
29;B;01/09/2023;15:23:00;60,9016;-45,33896667;40,03;0,523;0;0,085;0,207;1,106;2,1972;125;8,242;0,010362;2,1952;1025,7777;32,0371;2,29;16,25;6,04;160;109
29;B;01/09/2023;15:23:00;60,9016;-45,33896667;69,97;0,527;0;0,073;0,5;2,185;1,0638;112,1;8,127;0,017024;1,0609;1026,4734;32,6287;2,08;16,36;5,36;138;105
31;B;03/09/2023;09:05:00;61,27348333;-45,8468;150,05;0;0;0,027;7,37;0,339;1,8758;;8,036;-0,04959;;;33,7285;2,3;;;;
31;B;03/09/2023;09:05:00;61,27348333;-45,8468;2,99;1,506;0,074;0,026;5,626;0,22;0,4293;109;8,235;136,9411;0,4292;1019,0122;23,7101;5,14;15,86;7,04;167;94
31;B;03/09/2023;09:05:00;61,27348333;-45,8468;299,96;8,927;0;0,562;9,75;0,171;3,7539;111,7;8,042;-0,061433;3,7332;1028,7827;34,4485;2,1;13,92;5,06;143;101
31;B;03/09/2023;09:05:00;61,27348333;-45,8468;49,99;0;0;0;6,981;1,074;1,0896;117,6;8,054;-0,061433;1,0876;1025,9241;32,0655;2,27;15,41;5,50;141;99
31;B;03/09/2023;09:05:00;61,27348333;-45,8468;5,94;0;0;0;7,528;0,597;0,3966;110,6;8,199;77,844971;0,3965;1021,6759;27,002;12,55;15,83;6,76;164;96
31;B;03/09/2023;09:05:00;61,27348333;-45,8468;79,95;0;0,025;0;5,77;1,229;0,1088;118,3;8,072;-0,042929;0,1062;1026,476;32,5044;2,21;15,37;5,58;140;95
33;B;03/09/2023;18:40:00;61,20911667;-45,91138333;10;0;0,1;0,06;7,53;0,606;0,4208;108;8,11;6,876772;0,4205;1022,967;28,5841;1,73;14,94;6,73;166;91
33;B;03/09/2023;18:40:00;61,20911667;-45,91138333;110,01;0;0,1;0,03;6,88;0,108;0,7137;104,2;8,022;0,005181;0,7094;1026,9431;32,9486;2,02;15,17;4,95;127;96
33;B;03/09/2023;18:40:00;61,20911667;-45,91138333;159,95;4,68;0,1;0,4;8,13;0,068;2,6513;103,3;8,035;0,002961;2,6421;1027,6975;33,7765;2,13;14,42;5,21;142;99
33;B;03/09/2023;18:40:00;61,20911667;-45,91138333;3,09;0;0,1;0,04;5,57;0,187;0,6162;101,8;8,221;44,203487;0,6161;1019,9894;24,9323;14,98;15,23;6,17;149;92
33;B;03/09/2023;18:40:00;61,20911667;-45,91138333;70;0;0,1;0,06;5,37;1,639;0,3747;109,8;8,065;-0,002961;0,3723;1026,2228;32,2676;1,91;15,26;5,20;131;95
